                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3724,                 1.0586,                 1.1962,                0.66164,                0.66912,                0.67053,                0.39925,                 1.3722,                 1.1024,                 1.2562,               0.008878,               0.008878,               0.008878
                     36,                 1.3753,                 1.0758,                 1.2004,                0.66477,                0.66629,                0.66989,                0.40202,                 1.3905,                 1.1958,                 1.2512,               0.008845,               0.008845,               0.008845
                     37,                 1.3332,                 1.0418,                 1.1776,                0.65001,                0.64819,                0.66126,                0.39322,                 1.3449,                 1.1006,                 1.2441,               0.008812,               0.008812,               0.008812
                     38,                 1.3339,                 1.0354,                 1.1737,                0.63183,                0.66403,                0.67109,                0.40491,                 1.3265,                 1.0617,                 1.2112,               0.008779,               0.008779,               0.008779
                     39,                 1.3436,                 1.0451,                 1.1888,                0.63796,                0.66346,                0.66644,                0.39686,                  1.347,                 1.1886,                 1.2674,               0.008746,               0.008746,               0.008746
                     40,                 1.3457,                 1.0488,                 1.1826,                 0.6355,                0.67254,                 0.6607,                 0.4009,                 1.3619,                 1.0618,                 1.2486,               0.008713,               0.008713,               0.008713
                     41,                 1.3526,                 1.0417,                 1.1819,                0.67451,                0.67138,                 0.6819,                0.40761,                 1.3551,                 1.0322,                 1.2526,                0.00868,                0.00868,                0.00868
                     42,                 1.3267,                 1.0133,                 1.1768,                0.63468,                0.64989,                0.66204,                0.38525,                 1.4029,                 1.2283,                 1.2905,               0.008647,               0.008647,               0.008647
                     43,                 1.3402,                  1.027,                 1.1814,                 0.6331,                0.65554,                0.64366,                 0.3886,                 1.3217,                 1.2575,                  1.224,               0.008614,               0.008614,               0.008614
                     44,                 1.3336,                 1.0195,                 1.1769,                0.60481,                0.65385,                0.63061,                0.37477,                 1.3698,                 1.2509,                 1.2443,               0.008581,               0.008581,               0.008581
                     45,                 1.3197,                 1.0203,                 1.1764,                0.65271,                0.66653,                0.67899,                0.41163,                 1.3229,                 1.0401,                 1.2323,               0.008548,               0.008548,               0.008548
                     46,                 1.3316,                 1.0324,                 1.1851,                0.63515,                0.66629,                0.66102,                0.38754,                 1.3639,                 1.0911,                 1.2461,               0.008515,               0.008515,               0.008515
                     47,                 1.3229,                 1.0303,                 1.1679,                0.64006,                0.68665,                0.67784,                0.41676,                 1.3413,                 1.0261,                 1.2417,               0.008482,               0.008482,               0.008482
                     48,                 1.3213,                 1.0119,                 1.1821,                0.66647,                0.62953,                0.65695,                0.39566,                 1.3715,                 1.0754,                 1.2427,               0.008449,               0.008449,               0.008449
                     49,                  1.315,                 1.0255,                 1.1694,                0.65173,                0.68722,                0.68813,                0.42313,                 1.2867,                  1.005,                 1.2013,               0.008416,               0.008416,               0.008416
                     50,                 1.3072,                 1.0167,                 1.1712,                0.64008,                0.66855,                0.66735,                0.39905,                 1.3416,                 1.1208,                 1.2256,               0.008383,               0.008383,               0.008383
                     51,                 1.2849,                0.99987,                 1.1602,                0.67664,                 0.6629,                 0.6826,                0.42786,                 1.2726,                 1.0341,                 1.1937,                0.00835,                0.00835,                0.00835
                     52,                 1.3079,                0.99661,                 1.1644,                0.66251,                 0.6776,                0.69646,                0.42197,                 1.3422,                0.98821,                 1.2197,               0.008317,               0.008317,               0.008317
                     53,                 1.2817,                0.98257,                 1.1531,                0.65429,                0.68156,                0.69049,                0.43512,                  1.275,                 1.0035,                 1.2027,               0.008284,               0.008284,               0.008284
                     54,                  1.295,                0.99902,                  1.162,                0.65819,                0.66516,                0.68456,                0.43155,                 1.2729,                 1.0049,                 1.1934,               0.008251,               0.008251,               0.008251
                     55,                 1.2936,                0.99482,                 1.1556,                0.65239,                0.68682,                0.68944,                 0.4089,                 1.3519,                 1.0237,                 1.2181,               0.008218,               0.008218,               0.008218
                     56,                 1.3051,                0.98286,                 1.1558,                0.67091,                0.67025,                0.69078,                0.42533,                 1.3001,                0.98312,                 1.2043,               0.008185,               0.008185,               0.008185
                     57,                 1.2755,                0.97755,                 1.1571,                0.64023,                0.70249,                0.68534,                0.41659,                 1.3157,                 1.1045,                  1.207,               0.008152,               0.008152,               0.008152
                     58,                 1.2697,                0.97768,                 1.1449,                 0.6816,                0.69621,                0.71292,                0.44803,                   1.24,                0.94848,                 1.1821,               0.008119,               0.008119,               0.008119
                     59,                 1.2825,                0.98456,                 1.1482,                0.67554,                0.69246,                0.70299,                0.43556,                 1.2816,                 1.0103,                 1.1946,               0.008086,               0.008086,               0.008086
                     60,                 1.2854,                 0.9816,                 1.1594,                0.65413,                0.64819,                0.67478,                0.40011,                 1.3648,                 1.0398,                 1.2442,               0.008053,               0.008053,               0.008053
                     61,                 1.2822,                0.98634,                 1.1629,                0.65833,                 0.6793,                0.68868,                0.42799,                 1.2879,                 1.0266,                  1.207,                0.00802,                0.00802,                0.00802
                     62,                 1.2947,                 1.0092,                 1.1589,                0.67311,                0.68835,                0.70626,                0.44232,                 1.2415,                0.97092,                 1.1895,               0.007987,               0.007987,               0.007987
                     63,                 1.2798,                0.97584,                 1.1495,                 0.6538,                0.67295,                0.67762,                0.42636,                 1.2653,                 1.0275,                 1.1926,               0.007954,               0.007954,               0.007954
                     64,                 1.2622,                0.95944,                 1.1419,                 0.6723,                0.66572,                0.68821,                0.42738,                 1.2798,                0.98168,                 1.2003,               0.007921,               0.007921,               0.007921
                     65,                 1.2662,                0.96189,                 1.1441,                0.67398,                0.70079,                0.70848,                0.44278,                  1.247,                0.94523,                 1.1839,               0.007888,               0.007888,               0.007888
                     66,                 1.2642,                  0.968,                 1.1496,                0.67338,                0.65837,                0.69193,                 0.4259,                 1.2794,                 1.0291,                 1.2027,               0.007855,               0.007855,               0.007855
                     67,                 1.2685,                0.97731,                  1.147,                0.66877,                0.65894,                0.68483,                 0.4244,                 1.3253,                 0.9782,                 1.2209,               0.007822,               0.007822,               0.007822
                     68,                 1.2736,                0.95872,                 1.1508,                0.67136,                0.70305,                0.70969,                0.44511,                 1.2729,                0.94455,                 1.1862,               0.007789,               0.007789,               0.007789
                     69,                 1.2664,                0.97119,                 1.1514,                0.69622,                0.67251,                0.70753,                0.44269,                 1.2915,                0.95804,                 1.1966,               0.007756,               0.007756,               0.007756
                     70,                 1.2604,                0.96084,                 1.1451,                0.67155,                0.71154,                0.71699,                0.45195,                 1.2512,                0.94457,                 1.1824,               0.007723,               0.007723,               0.007723
                     71,                 1.2451,                 0.9537,                 1.1314,                0.69851,                0.69192,                0.72199,                 0.4544,                 1.2469,                0.93318,                 1.1797,                0.00769,                0.00769,                0.00769
                     72,                 1.2474,                0.95279,                 1.1373,                 0.6779,                0.66912,                0.70168,                0.43455,                 1.2714,                0.98163,                 1.1846,               0.007657,               0.007657,               0.007657
                     73,                 1.2552,                0.95448,                 1.1378,                0.68066,                0.70887,                0.71357,                0.45298,                 1.2244,                0.93692,                 1.1761,               0.007624,               0.007624,               0.007624
                     74,                 1.2502,                0.94914,                 1.1423,                0.69789,                0.68043,                0.71743,                0.44848,                 1.2648,                0.96858,                 1.1839,               0.007591,               0.007591,               0.007591
                     75,                 1.2369,                0.94683,                 1.1345,                0.65866,                0.68761,                0.69732,                0.43756,                 1.2565,                0.98784,                  1.174,               0.007558,               0.007558,               0.007558
                     76,                 1.2612,                0.94707,                 1.1525,                0.68368,                0.66346,                0.69673,                0.43994,                 1.2472,                0.99387,                 1.1804,               0.007525,               0.007525,               0.007525
                     77,                 1.2499,                0.95923,                 1.1384,                0.68038,                0.70316,                0.71346,                 0.4558,                 1.2187,                0.94954,                 1.1624,               0.007492,               0.007492,               0.007492
                     78,                 1.2376,                0.94247,                 1.1307,                0.67653,                0.71097,                0.71991,                0.45442,                 1.2347,                0.94654,                 1.1782,               0.007459,               0.007459,               0.007459
                     79,                 1.2349,                0.94625,                 1.1244,                0.67705,                 0.6759,                 0.7032,                0.44043,                 1.2535,                0.97617,                  1.177,               0.007426,               0.007426,               0.007426
                     80,                 1.2271,                0.93384,                 1.1245,                0.70796,                0.70419,                0.73062,                0.46754,                 1.2267,                0.92966,                 1.1724,               0.007393,               0.007393,               0.007393
                     81,                 1.2279,                0.91982,                  1.131,                0.67669,                0.68778,                0.71107,                0.45187,                 1.2356,                0.94618,                 1.1783,                0.00736,                0.00736,                0.00736
                     82,                 1.2451,                0.93802,                 1.1392,                0.68975,                0.69853,                0.71611,                0.44809,                 1.2607,                0.93591,                 1.1841,               0.007327,               0.007327,               0.007327
                     83,                 1.2184,                0.93061,                 1.1299,                0.66616,                 0.6776,                0.69418,                  0.441,                 1.2306,                0.97822,                 1.1783,               0.007294,               0.007294,               0.007294
                     84,                 1.2116,                0.92806,                  1.125,                 0.6968,                0.70192,                0.71638,                 0.4594,                 1.2126,                0.95478,                 1.1762,               0.007261,               0.007261,               0.007261
                     85,                 1.2329,                 0.9325,                 1.1263,                  0.696,                 0.6759,                0.71366,                0.45174,                 1.2469,                0.96984,                 1.1784,               0.007228,               0.007228,               0.007228
                     86,                 1.2092,                0.93078,                 1.1162,                0.68828,                0.70475,                0.72512,                 0.4564,                 1.2441,                0.93787,                 1.1842,               0.007195,               0.007195,               0.007195
                     87,                 1.2306,                0.93549,                 1.1227,                0.66571,                0.69273,                0.70484,                0.44522,                 1.2491,                0.99131,                 1.1872,               0.007162,               0.007162,               0.007162
                     88,                 1.2012,                0.91495,                 1.1203,                0.70398,                0.70079,                0.73248,                0.46789,                 1.2157,                0.90134,                 1.1662,               0.007129,               0.007129,               0.007129
                     89,                 1.2226,                0.92486,                 1.1191,                0.68383,                0.71776,                0.71718,                0.46076,                 1.2042,                0.95828,                 1.1663,               0.007096,               0.007096,               0.007096
                     90,                 1.2288,                0.92025,                 1.1267,                 0.6985,                0.66403,                0.70046,                 0.4467,                 1.2475,                0.96263,                 1.1818,               0.007063,               0.007063,               0.007063
                     91,                 1.2161,                0.91662,                  1.133,                0.67624,                0.71606,                 0.7158,                0.46228,                  1.207,                0.95874,                 1.1584,                0.00703,                0.00703,                0.00703
                     92,                 1.2067,                0.91274,                 1.1146,                0.71398,                0.68835,                0.73257,                  0.464,                 1.2161,                0.89768,                 1.1643,               0.006997,               0.006997,               0.006997
                     93,                 1.2026,                0.91443,                   1.12,                0.68032,                0.69118,                0.71221,                0.44679,                 1.2422,                0.96718,                 1.1618,               0.006964,               0.006964,               0.006964
                     94,                 1.1982,                0.90424,                 1.1079,                0.68949,                0.70588,                0.72932,                0.46392,                 1.2217,                0.90254,                 1.1547,               0.006931,               0.006931,               0.006931
                     95,                 1.2096,                0.90851,                 1.1206,                0.70376,                0.69005,                0.72083,                0.45917,                 1.2212,                0.94821,                 1.1539,               0.006898,               0.006898,               0.006898
                     96,                  1.227,                0.92044,                 1.1222,                0.70907,                 0.6957,                0.72821,                0.47244,                 1.2011,                0.89973,                 1.1561,               0.006865,               0.006865,               0.006865
                     97,                 1.2027,                0.90752,                 1.1193,                0.69724,                0.69627,                0.72495,                0.46161,                 1.2187,                0.91926,                 1.1516,               0.006832,               0.006832,               0.006832
                     98,                 1.2082,                0.90614,                 1.1267,                0.69266,                 0.7317,                0.73542,                0.47309,                  1.187,                0.89429,                 1.1502,               0.006799,               0.006799,               0.006799
                     99,                 1.1992,                0.91209,                 1.1118,                0.68916,                0.68043,                0.71726,                0.45995,                 1.1963,                0.96869,                 1.1558,               0.006766,               0.006766,               0.006766
                    100,                 1.1937,                0.89959,                 1.1158,                0.68888,                0.69457,                0.72066,                0.46596,                 1.2231,                0.91663,                 1.1743,               0.006733,               0.006733,               0.006733
                    101,                  1.209,                0.91493,                 1.1175,                0.67645,                0.68587,                0.71657,                0.46182,                  1.203,                0.95693,                 1.1569,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.1876,                0.89178,                 1.1084,                0.68213,                 0.6991,                0.72693,                0.46503,                 1.2113,                0.90071,                 1.1563,               0.006667,               0.006667,               0.006667
                    103,                 1.1853,                0.90376,                 1.1132,                0.69873,                0.70079,                0.73162,                0.47051,                 1.1984,                0.90786,                 1.1538,               0.006634,               0.006634,               0.006634
                    104,                 1.1974,                 0.9026,                 1.1117,                0.70099,                0.70278,                0.72351,                0.45412,                 1.2101,                0.96031,                 1.1544,               0.006601,               0.006601,               0.006601
                    105,                 1.2024,                0.90474,                 1.1202,                0.70358,                0.69678,                0.73116,                0.47114,                 1.2061,                0.91077,                 1.1477,               0.006568,               0.006568,               0.006568
                    106,                 1.1746,                0.89038,                 1.1062,                0.66251,                0.70475,                0.72068,                0.47165,                 1.1989,                0.90031,                  1.162,               0.006535,               0.006535,               0.006535
                    107,                 1.1894,                0.89722,                 1.1025,                0.67819,                 0.7302,                0.73404,                0.46953,                 1.2103,                0.90861,                 1.1579,               0.006502,               0.006502,               0.006502
                    108,                 1.1907,                0.89321,                 1.1065,                0.72639,                0.68625,                0.74213,                0.47964,                 1.2034,                0.89416,                 1.1518,               0.006469,               0.006469,               0.006469
                    109,                 1.1845,                0.88137,                 1.1012,                0.68891,                 0.6957,                0.72116,                0.45725,                 1.2404,                0.92204,                 1.1689,               0.006436,               0.006436,               0.006436
                    110,                 1.1886,                0.88767,                 1.1082,                0.69629,                 0.7132,                 0.7283,                0.45968,                 1.2315,                0.93176,                 1.1644,               0.006403,               0.006403,               0.006403
                    111,                 1.1644,                0.88117,                 1.1023,                0.70507,                0.70305,                0.72962,                0.46999,                 1.1963,                0.92082,                 1.1501,                0.00637,                0.00637,                0.00637
                    112,                 1.1827,                0.88366,                 1.1039,                0.71096,                0.69966,                0.74342,                 0.4803,                 1.1973,                0.88881,                  1.149,               0.006337,               0.006337,               0.006337
                    113,                 1.1731,                 0.8934,                 1.1005,                0.68237,                0.72511,                0.74432,                0.47906,                 1.1819,                0.89217,                 1.1493,               0.006304,               0.006304,               0.006304
                    114,                 1.1782,                0.88191,                 1.1047,                0.68328,                 0.7236,                 0.7379,                 0.4849,                 1.1621,                0.90766,                 1.1334,               0.006271,               0.006271,               0.006271
                    115,                  1.175,                0.87428,                 1.1004,                0.70865,                0.70849,                0.74116,                 0.4845,                 1.1652,                0.87139,                 1.1454,               0.006238,               0.006238,               0.006238
                    116,                 1.1835,                0.88253,                 1.1061,                0.70126,                0.72227,                0.74394,                0.48602,                 1.1704,                0.88727,                 1.1373,               0.006205,               0.006205,               0.006205
                    117,                 1.1871,                0.89014,                 1.1139,                0.70046,                0.70984,                0.74492,                 0.4843,                 1.1724,                0.88051,                 1.1495,               0.006172,               0.006172,               0.006172
                    118,                 1.1808,                0.89339,                 1.1113,                0.70029,                0.72624,                0.73504,                0.47647,                 1.1783,                0.90014,                 1.1428,               0.006139,               0.006139,               0.006139
                    119,                 1.1676,                0.87838,                 1.0996,                0.68347,                0.71776,                0.73304,                 0.4735,                  1.183,                 0.8971,                 1.1324,               0.006106,               0.006106,               0.006106
                    120,                 1.1543,                 0.8655,                 1.0975,                0.70229,                0.68847,                0.73435,                0.46912,                 1.1867,                 0.9276,                 1.1272,               0.006073,               0.006073,               0.006073
                    121,                 1.1715,                0.87549,                 1.1155,                0.69093,                0.71946,                0.73642,                 0.4725,                 1.1972,                0.87597,                 1.1314,                0.00604,                0.00604,                0.00604
